BROOME COMMUNITY COLLEGE,,,,,,,,,,,,,,,,Substation,Morningside Heights,,,
10010659141,,,,,,,,,,,,,,,,Circuit,458 (8104204),34.5 kV (Primary Metered),,
PoD ID: N01000000246777,,,,,,,,,,,,,,,,Line,2978,,,
TOU METER #: NAB0021199940,,,,,,,,,,,,,,,,Pole,P1-2,,,
PSC #120; SC # 7-3 (Mandatory Hourly Pricing),,,,,,,,,,,,,,,,FLOC:,9301-L1143-0411-0050-ED00012,,,
Read,,On-Peak,On-Peak,On-Peak,Off-Peak,Off-Peak,Off-Peak,Reactive,Total Usage,Power,Load,Total Cost,Cost/kWh,Usage/Day,,NYSEG Delivery,,NYSEG Supply,,
Date,Days,Usage (kWh),Demand (kW),Cost ($),Usage (kWh),Demand (kW),Cost ($),(RKVAH),(kWh),Factor,Factor,($),($),(kWh),,Charges ($),Rate ($/kWh),Charges ($),Rate ($/kWh),
06/15/98,32,326200,1624.00,40543.51,323400,1120.00,17445.16,340200,649600,0.886,0.521,57988.67,0.08927,20300,,,,,,
07/15/98,30,365400,1512.00,42525.00,281400,1106.00,15179.56,312900,646800,0.900,0.594,57704.56,0.08922,21560,,,,,,
08/13/98,29,382200,1526.00,43962.94,288400,1176.00,15557.16,323400,670600,0.901,0.631,59520.10,0.08876,23124,,,,,,
09/14/98,32,400400,1848.00,48374.50,357000,1260.00,19257.65,363300,757400,0.902,0.534,67632.15,0.08930,23669,,,,,,
10/13/98,29,394800,1792.00,47268.47,308000,1134.00,16571.01,317100,702800,0.912,0.563,63839.48,0.09084,24234,,,,,,
11/12/98,30,368200,1498.00,42470.58,284200,1050.00,15290.52,283500,652400,0.917,0.605,57761.10,0.08854,21747,,,,,,
12/15/98,33,351400,1442.00,40653.87,334600,1050.00,18002.14,298200,686000,0.917,0.601,58656.01,0.08550,20788,,,,,,
TOTAL,215,2588600,1848.00,305798.87,2177000,1260.00,117303.20,2238600,4765600,0.905,0.500,423102.07,0.08878,22166,,,,,,
01/15/99,31,266000,1120.00,31075.20,292600,910.00,15742.46,275100,558600,0.897,0.670,46817.66,0.08381,18019,,,,,,
02/16/99,32,338800,1260.00,37986.12,313600,910.00,16872.30,279300,652400,0.919,0.674,54858.42,0.08409,20388,,,,,,
03/17/99,29,319200,1246.00,36328.65,271600,896.00,14612.62,249900,590800,0.921,0.681,50941.27,0.08622,20372,,,,,,
04/16/99,30,324800,1358.00,37816.49,268800,938.00,14461.97,268800,593600,0.911,0.607,52278.46,0.08807,19787,,,,,,
05/17/99,31,357000,1596.00,42529.99,313600,1134.00,16872.30,310800,670600,0.907,0.565,59402.29,0.08858,21632,,,,,,
06/16/99,30,347200,1554.00,41402.22,299600,1162.00,16119.07,323400,646800,0.894,0.578,57521.29,0.08893,21560,,,,,,
07/16/99,30,372400,1596.00,43748.13,287000,1218.00,15441.17,331800,659400,0.893,0.574,59189.30,0.08976,21980,,,,,,
08/16/99,31,357000,1456.00,41249.31,308000,1092.00,16571.01,323400,665000,0.899,0.614,57820.32,0.08695,21452,,,,,,
09/15/99,30,414400,1764.00,48582.72,313600,1218.00,16872.30,380100,728000,0.886,0.573,65455.02,0.08991,24267,,,,,,
10/14/99,29,350000,1568.00,41833.06,274400,1106.00,14763.26,401100,624400,0.841,0.572,56596.32,0.09064,21531,,,,,,
